상호명,도로명주소,지번주소,전화번호,세대수(객실수),건축연도
,전라남도 진도군 진도읍 남문길 25,전라남도 진도군 진도읍 남동리 776-3,,16,2008
,,전라남도 진도군 진도읍 동외리 536-3,,,2009
,,전라남도 진도군 진도읍 동외리 536-4,,,2009
대영빌라,전라남도 진도군 진도읍 성내길 28,전라남도 진도군 진도읍 성내리 22-57,061-544-2132,,2009
오일빌원룸,전라남도 진도군 고군면 오일시1길 59,전라남도 진도군 고군면 고성리 247,,,2014
오일빌원룸,,전라남도 진도군 고군면 고성리 248-8,,,2014
,,전라남도 진도군 고군면 금계리 644,,,2019
,,전라남도 진도군 고군면 금계리 644-1,,,2019
,전라남도 진도군 고군면 원포길 150-13,전라남도 진도군 고군면 원포리 277-1,,,2018
,전라남도 진도군 진도읍 성북길 29,전라남도 진도군 진도읍 교동리 54-3,,,2010
,전라남도 진도군 진도읍 남문길 23,전라남도 진도군 진도읍 남동리 776-22,,,2009
,전라남도 진도군 진도읍 남산로 129,전라남도 진도군 진도읍 남동리 468-1,,,2015
,전라남도 진도군 진도읍 쌍정2길 25,전라남도 진도군 진도읍 남동리 490-4,,,2014
동심빌,전라남도 진도군 진도읍 남동1길 32-2,전라남도 진도군 진도읍 남동리 774-13,,,2018
동심빌,전라남도 진도군 진도읍 남동1길 32-2,전라남도 진도군 진도읍 남동리 774-14,,,2018
,전라남도 진도군 진도읍 남동2길 30,전라남도 진도군 진도읍 남동리 590-1,,,2020
,전라남도 진도군 진도읍 남동4길 7-67,전라남도 진도군 진도읍 남동리 589-1,061-542-9599,,2020
,전라남도 진도군 진도읍 동외4길 80,전라남도 진도군 진도읍 동외리 536-1,,,2009
,전라남도 진도군 진도읍 동외1길 8,전라남도 진도군 진도읍 동외리 1151-2,061-533-1213,,2014
,,전라남도 진도군 진도읍 동외리 309,061-544-6679,,2018
대영빌라,전라남도 진도군 진도읍 성내길 28,전라남도 진도군 진도읍 성내리 22-57,061-544-2132,,2009
대영빌라,전라남도 진도군 진도읍 성내길 27-1,전라남도 진도군 진도읍 성내리 22-13,061-544-2132,,2009
,전라남도 진도군 진도읍 서문길 18-4,전라남도 진도군 진도읍 성내리 68-11,062-672-2230,,2015
앤드빌,전라남도 진도군 진도읍 철마길 6-5,전라남도 진도군 진도읍 성내리 38-4,,,2018
아라빌라,전라남도 진도군 진도읍 쌍정1길 21,전라남도 진도군 잔도읍 쌍정리 134,,,2010
글로벌리치,전라남도 진도군 진도읍 쌍정1길 6-39,전라남도 진도군 진도읍 쌍정리 258-22,,,2014
보배오피스텔 ,전라남도 진도군 진도읍 쌍정1길 8-3,전라남도 진도군 진도읍 쌍정리 151-16,,,2014
글로벌리치,전라남도 진도군 진도읍 쌍정1길 6-43,전라남도 진도군 진도읍 쌍정리 258-28,,,2014
,전라남도 진도군 진도읍 쌍정1길 8-16,전라남도 진도군 진도읍 쌍정리 257-18,062-654-9494,,2015
글로벌리치,전라남도 진도군 진도읍 쌍정1길 8-10,전라남도 진도군 진도읍 쌍정리 257-6,062-654-9494,,2015
월드힐,전라남도 진도군 진도읍 남산로 124-17,전라남도 진도군 진도읍 쌍정리 230-7,062-654-9494,,2019
월드힐,전라남도 진도군 진도읍 남산로 124-15,전라남도 진도군 진도읍 쌍정리 230-9,062-654-9494,,2019
,전라남도 진도군 진도읍 남문길 39,전라남도 진도군 진도읍 남동리 507-6,,,
장백빌라,전라남도 진도군 진도읍 서문길 35,전라남도 진도군 진도읍 교동리 150,,,
해담채,전라남도 진도군 진도읍 서문길 50,전라남도 진도군 진도읍 교동리 165,,,
옥주드림캐슬,전라남도 진도군 진도읍 서문길 40,전라남도 진도군 진도읍 교동리 161-1,,,
동성노블리,전라남도 진도군 진도읍 진도향교길 60-12,전라남도 진도군 진도읍 교동리 146,,,
드림네스트,전라남도 진도군 진도읍 서문길 52,전라남도 진도군 진도읍 교동리 165-5,,,
코리아빌라,전라남도 진도군 진도읍 북산길 13-11,전라남도 진도군 진도읍 교동리 179-3,,,
북상빌라,전라남도 진도군 진도읍 성북길 12,전라남도 진도군 진도읍 교동리 179,,,
철마빌라 ,전라남도 진도군 진도읍 성북길 31-5,전라남도 진도군 진도읍 교동리 54-9,,,
옥주에버빌 ,전라남도 진도군 진도읍 성북길 31-4,전라남도 진도군 진도읍 교동리 14,,,
